osm_id,place_type,name_default,name_ar,name_en,name_fr,lat,lon
9950211036,village,عيون الغزلان,عيون الغزلان,Aayoun El Ghizlane,Aayoun El Ghizlane,34.4730682,36.0183442
9950217012,village,قلود الباقية,قلود الباقية,Qloud El Baqieh,Qloud El Baqieh,34.4964726,36.0596716
9951476664,village,دير جنين,دير جنين,Deir Jannine,Deir Jannine,34.5657982,36.1760688
9999461695,neighbourhood,الأوزاعي,الأوزاعي,Ouzai,Ouzai,33.84949,35.4835801
10148442484,village,عطشانة,عطشانة,Aatchaneh,Aatchaneh,33.91275,35.6492668
10200018765,village,ضهر العين,ضهر العين,Dahr Al Ain,Dahr Al Ain,34.3852162,35.8463474
10249801488,neighbourhood,باب الرمل,باب الرمل,Bab Al Ramel,Bab Al Ramel,34.4267419,35.8353581
10568709846,locality,قصقص,قصقص,Qasqas,Qasqas,33.8759997,35.5089258
10584826637,neighbourhood,المشرفية‎,المشرفية‎,Musharafieh,Mucharafieh,33.8614234,35.507387
10739402924,village,كفر زبد,كفر زبد,Kfar Zabad,Kfar Zabad,33.7849347,35.9939575
10759218555,village,مياسة,مياسة,Mayasseh,Mayasseh,33.9393813,35.6940865
10759227381,village,عدشيت الشقيف,عدشيت الشقيف,Aadchit El Chqif,Aadchit El Chqif,33.345497,35.4134846
10896827275,village,عفصديق,عفصديق,Aafsdiq,Aafsdiq,34.3308915,35.7849383
10899995672,village,بدبهون,بدبهون,Badbhoun,Badbhoun,34.3369071,35.7576871
10961831727,village,سلفايا,سلفايا,Selfaya,Selfaya,33.7289975,35.5690151
11030251920,neighbourhood,Halta Et Tahta,,Halta El Tahta,Halta El Faouqa,33.3173904,35.6620824
11034129126,neighbourhood,المنكوبين,المنكوبين,Al Mankoubin,Al Mankoubin,34.4486619,35.8638436
11163569689,neighbourhood,بستان القدس,بستان القدس,Bustan Al Quds,Bustan Al Quds,33.5442383,35.3786695
11163606412,neighbourhood,Taamir,,Taamir,Taamir,33.5483761,35.3809762
11163628605,neighbourhood,Baraksat,,Baraksat,Baraksat,33.5447525,35.3821108
11179541854,neighbourhood,Tawari,,Tawari,Tawari,33.5462815,35.3797585
11195780909,village,وادي بعنقودين,وادي بعنقودين,Wadi Baanqoudaine,Ouadi Baanqoudaine,33.5462592,35.4385471
11197652065,village,حسانية,حسانية,Hassaniyeh,Hassaniyeh,33.5201808,35.4534173
11197685517,village,مزرعة كوثرية الرز,مزرعة كوثرية الرز,Mazraat Kaoutariyet Er Riz,Mazraat Kaoutariyet Er Riz,33.3712695,35.3000593
11229849592,hamlet,كفر بدَه,كفر بدَه,Kfar Beda,Kfar Beda,33.3613638,35.2658075
11231220388,village,الداودية,الداودية,Daoudiyeh,Daoudiyeh,33.4297401,35.2987933
11357864526,village,فدعوس,فدعوس,Fadous,Fadous,34.2283941,35.6563073
11492643226,neighbourhood,الزهرية,الزهرية,Zahrieh,,34.4389817,35.8438856
11580680704,neighbourhood,الفتيحات,,,,33.6573688,35.4363768
11754021739,village,جنسنايا,جنسنايا,Jensnaya,Jensnaya,33.53526,35.4326785
11764858822,village,عدّوس,عدّوس,Adous,Adous,34.0185273,36.1500513
11770220263,village,مطيرية,مطيرية,Mtayriyeh,Mtayriyeh,33.5120767,35.4037642
11775825980,village,شواليق,شواليق,Choualiq,Choualiq,33.5542439,35.4411113
12003465362,locality,Wadi Al Asafir,,Wadi Al Asafir,,33.3103388,35.6053913
12021208726,village,نيحا صور,نيحا صور,Niha Sour,Niha Sour,33.2733724,35.4019725
12022913431,village,المروج,المروج,Mrouj,Mrouj,33.9097271,35.7509601
12022927089,village,مشرح,مشرح,Machraa,Machraa,33.9449353,35.7538569
12025576642,hamlet,Bayada,,Bayada,Bayada,33.5242192,35.5656758
12025637376,village,وادي الكرم,وادي الكرم,Wadi El Karm,Ouadi El Karm,33.9503555,35.7508743
12053056356,village,بستيات,بستيات,Bestiyat,Bestiyat,33.2889281,35.358108
12173760765,village,كفر جوز,كفر جوز,Kfarjaouz,Kfarjaouz,33.3949787,35.4756045
12173762575,village,بفروة,بفروة,Bfaroueh,Bfaroueh,33.4322203,35.4218531
12173791176,hamlet,مزرعة الخريبة,مزرعة الخريبة,Mzaraat El Khreibeh,Mzaraat El Khreibeh,33.4724486,35.4581058
12246902593,village,كوثرية السياد,كوثرية السياد,Kaoutariyet Es Siyad,Kaoutariyet Es-Siyad,33.4099319,35.3879499
12292316601,village,حوش سنيد,حوش سنيد,Haouch Snaid,Haouch Snaid,33.9266787,36.0670423
12294935137,village,المغاير,المغاير,Mghayer,Mghayer,34.0360681,35.7684629
12297055894,village,عين الغويبة,عين الغويبة,Aain El Ghouaybeh,Aain El Ghouaybeh,34.0808065,35.8605659
12297099335,village,مراح الحاج,مراح الحاج,Mrah El Hajj,Mrah El Hajj,34.2100632,35.7788229
12297139239,village,بشلّلي,بشلّلي,Bshille,Bchille,34.1037119,35.7165956
12300446921,village,ضهر الوحش,ضهر الوحش,Dahr El Wahech,Dahr El Wahech,33.8223551,35.5987079
12303064452,village,مزرعة البياض,مزرعة البياض,Mazraat El Bayad,Mazraat El Bayad,33.4208037,35.4840481
12303120280,village,وادي الليمون,وادي الليمون,Wadi El Laymoun,Quadi El Laymoun,33.5246262,35.4672038
12307766433,village,مزرعة عرب سكر,مزرعة عرب سكر,Mazraat Aarab Soukkar,Mazraat Aarab Soukkar,33.4814423,35.4449415
12380534588,village,لوسيا,لوسيا,Loussia,Loussia,33.4420777,35.6505865
12388774617,village,بردي,بردي,Bardeh,Bardeh,34.5955225,36.2535953
12426508396,village,علي الطاهر,علي الطاهر,Aali Et Taher,Aali Et Taher,33.3658307,35.5123722
12431798434,village,نهر الدهب,نهر الدهب,Nahr El Dahab,Nahr El Dahab,34.046908,35.7428276
12439602116,village,حشمش,حشمش,Hoshmosh,Hechmech,33.8287999,36.0231239
12604338385,village,جديدة غزير,جديدة غزير,Jdaidet Ghazir,Jdaidet Ghazir,34.0224311,35.6921339
12639395128,village,بحنين,بحنين,Bhannine,Bhannine,33.583056,35.5975699
12657279859,village,وادي شاهين,وادي شاهين,Wadi Shahine,Ouadi Chahine,33.9316461,35.6924772
12657360252,village,عميق الشوف,عميق الشوف,Aammiq El Chouf,Aamiq El Chouf,33.718334,35.5830431
12681722280,hamlet,مزيرعة بعبدا,مزيرعة بعبدا,Mzairaa Baabda,Mzairaa Baabda,33.829856,35.6524372
12739547720,hamlet,حارة حمزة,حارة حمزة,Haret Hamzeh,Haret Hamzeh,33.8208852,35.6652152
12961992474,hamlet,كفر قواص,كفر قواص,Kfar Qouas,Kfar Qouas,34.1241242,35.6972408
13027351058,village,دوير الرمان,دوير الرمان,Douair El Remmaneh,Douair El Remmaneh,33.7548165,35.5823457
13046271536,village,دير دوريت,دير دوريت,Deir Dourit,Deir Dourit,33.6857642,35.5407929
13158648782,suburb,بشامون المدارس,,,,33.7785752,35.5070268
